Neighborhood,BldgType,OverallQual,LotArea,BedroomAbvGr,Bathrooms,GarageCars,SalePrice,Price_Per_Sq_Ft
Gilbert,1Fam,6,10839,3,2.5,2,181000,16.698957468401144
Other,Twnhs,4,1890,1,1.0,0,81000,42.857142857142854
CollgCr,1Fam,7,10667,3,2.5,2,212000,19.874378925658572
OldTown,1Fam,6,4400,2,1.0,2,116000,26.363636363636363
Other,1Fam,6,6000,2,1.0,1,119000,19.833333333333332
Other,1Fam,5,4280,2,1.0,1,90350,21.10981308411215
Edwards,1Fam,6,12354,3,1.0,2,110000,8.903998704872915
NridgHt,1Fam,10,15431,2,2.0,3,555000,35.96656081913032
Edwards,Duplex,4,12108,4,2.0,0,118000,9.745622728774364
Other,1Fam,5,6240,3,2.0,2,162900,26.10576923076923
Other,TwnhsE,7,3922,2,2.0,3,172500,43.982661907190206
CollgCr,1Fam,7,8750,4,2.5,2,210000,24.0
Edwards,1Fam,6,9855,3,1.0,2,127500,12.937595129375952
NAmes,1Fam,6,16492,2,2.5,2,190000,11.52073732718894
Gilbert,1Fam,7,11214,4,2.5,2,199900,17.825931870875692
Other,1Fam,6,8600,3,2.0,1,119500,13.895348837209303
OldTown,1Fam,3,6000,2,1.5,1,120000,20.0
OldTown,1Fam,6,5684,2,1.0,1,110000,19.35256861365236
Other,1Fam,7,70761,2,2.0,2,280000,3.956981953335877
Other,1Fam,6,9303,3,2.5,2,204000,21.928410190261207
Somerst,1Fam,8,9000,3,2.5,2,210000,23.333333333333332
Other,Duplex,5,9297,4,2.0,2,188000,20.2215768527482
NWAmes,1Fam,7,9600,3,1.5,2,175500,18.28125
OldTown,1Fam,5,4571,4,1.0,3,98000,21.43950995405819
Other,1Fam,4,53227,2,1.0,2,256000,4.80958911830462
Other,1Fam,5,7015,3,1.0,1,110000,15.680684248039915
Somerst,1Fam,8,8004,3,2.5,2,263435,32.912918540729635
Other,1Fam,7,7200,3,1.0,2,155000,21.52777777777778
Sawyer,1Fam,5,8281,3,1.0,1,62383,7.5332689288733246
Other,1Fam,6,11988,3,1.5,1,188700,15.74074074074074
CollgCr,1Fam,5,8430,3,2.0,0,124000,14.709371293001187
Other,TwnhsE,7,3072,2,2.0,2,178740,58.18359375
NAmes,1Fam,7,10628,2,1.0,2,167000,15.71321038765525
NAmes,1Fam,5,9480,3,1.5,1,146500,15.453586497890296
NridgHt,1Fam,8,11428,3,2.0,3,250000,21.876093804690235
SawyerW,1Fam,6,9291,3,2.5,2,187000,20.127004628134753
Other,TwnhsE,8,6820,1,1.5,2,212000,31.085043988269796
NWAmes,1Fam,7,11952,3,2.5,2,190000,15.896921017402946
NridgHt,1Fam,8,14977,2,2.0,3,440000,29.378380182947186
Other,TwnhsE,8,5330,2,2.0,2,251000,47.091932457786115
Sawyer,1Fam,5,8480,2,1.0,2,132500,15.625
CollgCr,1Fam,6,13125,3,2.0,2,208900,15.916190476190476
NridgHt,1Fam,9,13693,3,2.5,3,380000,27.751405827795224
CollgCr,1Fam,8,10637,3,2.0,3,297000,27.921406411582215
OldTown,1Fam,4,5925,2,1.0,2,89471,15.100590717299578
NridgHt,1Fam,9,16033,3,2.0,3,326000,20.333063057444022
NridgHt,1Fam,9,11846,2,2.0,3,374000,31.57183859530643
Other,Twnhs,6,4500,2,2.0,2,164000,36.44444444444444
Sawyer,1Fam,5,7758,3,1.0,1,132500,17.079144109306522
NAmes,1Fam,5,9600,3,1.0,1,147000,15.3125
NAmes,1Fam,5,10289,3,1.5,2,156000,15.161823306443775
NWAmes,1Fam,5,12243,3,2.0,2,175000,14.29388221841052
OldTown,2fmCon,5,10800,3,2.0,2,160000,14.814814814814815
Other,Twnhs,4,1526,1,1.0,1,86000,56.3564875491481
NAmes,1Fam,6,9490,3,1.0,1,133000,14.014752370916755
Gilbert,1Fam,6,15578,3,2.5,2,172785,11.091603543458724
NAmes,1Fam,5,7931,3,1.5,1,155000,19.54356323288362
OldTown,1Fam,5,5784,2,1.0,1,91300,15.784923928077456
Other,1Fam,4,7879,2,1.0,0,34900,4.429496128950374
Other,1Fam,8,12692,4,3.0,2,430000,33.87960920264734
Other,1Fam,7,9120,4,2.0,1,184000,20.17543859649123
Sawyer,1Fam,5,7800,3,1.0,1,130000,16.666666666666668
NAmes,1Fam,5,7535,2,1.0,1,120000,15.925680159256801
Somerst,1Fam,7,9803,3,2.5,2,226700,23.12557380393757
Edwards,1Fam,5,9170,2,1.0,2,140000,15.267175572519085
Other,1Fam,7,15602,1,2.0,2,289000,18.523266247916933
OldTown,Duplex,5,7596,4,2.0,2,124500,16.390205371248026
SawyerW,1Fam,8,9554,3,2.5,2,215000,22.50366338706301
Somerst,1Fam,6,7862,2,2.0,2,208300,26.494530653777666
OldTown,1Fam,7,9600,3,2.0,2,161000,16.770833333333332
NAmes,1Fam,5,9600,3,1.0,1,124500,12.96875
NAmes,1Fam,5,14559,2,1.0,1,164900,11.32632735764819
NridgHt,TwnhsE,7,6792,2,2.0,2,202665,29.838780918727917
NAmes,1Fam,5,9100,3,1.0,2,129900,14.274725274725276
Other,1Fam,6,9187,3,1.5,2,134000,14.585827800152389
Other,1Fam,5,10594,2,1.0,1,96500,9.108929582782707
NridgHt,1Fam,10,12220,3,2.5,3,402861,32.96734860883797
NWAmes,1Fam,6,10448,3,2.5,2,158000,15.122511485451762
Other,1Fam,7,10208,3,2.5,3,265000,25.96003134796238
CollgCr,1Fam,6,9531,3,2.5,2,211000,22.138285594376246
Other,1Fam,7,10918,3,1.5,1,234000,21.432496794284667
OldTown,2fmCon,4,10800,3,2.0,0,106250,9.837962962962964
NAmes,1Fam,6,11988,3,1.5,1,150000,12.512512512512513
Other,1Fam,6,5000,3,2.0,2,159000,31.8
Edwards,1Fam,10,40094,3,3.5,3,184750,4.607921384745847
Other,1Fam,7,11787,3,2.5,3,315750,26.787986765080174
Somerst,1Fam,7,7500,3,2.0,2,176000,23.466666666666665
NAmes,1Fam,5,13300,2,1.0,1,132000,9.924812030075188
NridgHt,1Fam,9,14948,3,2.5,3,446261,29.854227990366603
Edwards,1Fam,4,9098,2,1.0,0,86000,9.452626950978237
Other,1Fam,6,32668,4,3.0,2,200624,6.141300355087547
Other,1Fam,6,10200,3,2.0,2,175000,17.15686274509804
Other,1Fam,6,6155,3,2.0,2,128000,20.796100731112915
NAmes,1Fam,5,7200,2,1.0,1,107500,14.930555555555555
Other,1Fam,1,5000,1,1.0,0,39300,7.86
Gilbert,1Fam,8,9056,3,2.5,2,178000,19.65547703180212
Edwards,2fmCon,5,7000,3,1.0,0,107500,15.357142857142858
CollgCr,1Fam,7,8924,3,2.5,2,188000,21.066786194531602
Sawyer,1Fam,5,11553,3,1.5,1,158000,13.676101445511987
CollgCr,1Fam,8,11423,3,2.0,2,272000,23.811608158977503
Other,1Fam,9,14601,2,2.0,3,315000,21.573864803780562
Other,1Fam,8,11000,4,2.5,3,248000,22.545454545454547
NWAmes,1Fam,7,10140,3,2.0,2,213250,21.030571992110453
NAmes,TwnhsE,7,4058,1,1.0,1,133000,32.774765894529324
Gilbert,1Fam,7,17104,3,2.5,2,179665,10.50426800748363
NWAmes,1Fam,7,13837,4,2.5,3,229000,16.549830165498303
Other,1Fam,6,8737,3,1.5,2,210000,24.03571019800847
Other,1Fam,5,7244,2,1.0,2,129500,17.876863611264493
OldTown,1Fam,5,8235,2,1.0,2,125000,15.179113539769277
Somerst,1Fam,7,9375,4,2.5,2,263000,28.053333333333335
Other,TwnhsE,6,4043,2,2.0,2,140000,34.62775166955231
OldTown,1Fam,5,6000,3,1.0,1,112500,18.75
NridgHt,1Fam,8,11146,3,2.0,3,255500,22.92302171182487
Edwards,1Fam,4,8777,2,2.0,2,108000,12.304887774866128
NridgHt,1Fam,7,10625,3,2.5,3,284000,26.729411764705883
Other,1Fam,5,6380,2,1.0,1,113000,17.711598746081506
NAmes,1Fam,5,14850,2,1.0,1,141000,9.494949494949495
Other,1Fam,4,11040,3,1.5,1,108000,9.782608695652174
Sawyer,1Fam,5,11341,3,1.5,2,121500,10.713340975222643
Other,1Fam,5,10010,2,1.0,2,170000,16.983016983016984
Edwards,1Fam,5,13907,3,1.0,0,108000,7.7658733012152155
Edwards,1Fam,6,21780,4,2.0,2,185000,8.494031221303949
Other,1Fam,7,13346,4,2.5,2,268000,20.08092312303312
Other,1Fam,6,6858,4,1.5,1,128000,18.664333624963547
Other,1Fam,9,11198,4,2.5,3,325000,29.02303982854081
NridgHt,1Fam,7,10171,3,2.0,2,214000,21.040212368498672
SawyerW,1Fam,8,12327,1,1.5,2,316600,25.683459073578323
NAmes,Duplex,5,7032,2,1.0,2,135960,19.33447098976109
NAmes,Duplex,5,13101,6,2.0,2,142600,10.884665292725746
NAmes,1Fam,6,7332,2,1.0,1,120000,16.366612111292962
Other,1Fam,7,13159,3,2.5,2,224500,17.06056691237936
Gilbert,1Fam,7,9967,3,2.5,2,170000,17.05628574295174
NAmes,1Fam,5,10500,3,1.0,1,139000,13.238095238095237
NAmes,1Fam,5,8480,2,1.0,1,118500,13.974056603773585
Other,1Fam,7,6292,3,2.0,1,145000,23.045136681500317
Sawyer,1Fam,5,11777,3,1.0,2,164500,13.967903540799863
Somerst,TwnhsE,7,3604,2,2.0,2,146000,40.51054384017758
OldTown,1Fam,5,12150,4,2.0,1,131500,10.823045267489713
NAmes,1Fam,6,14585,3,1.0,2,181900,12.471717517997943
NridgHt,1Fam,8,12704,3,2.5,3,253293,19.938051007556677
Edwards,Duplex,6,11841,3,1.0,0,118500,10.007600709399544
Other,1Fam,4,6120,3,1.0,1,133000,21.73202614379085
Other,1Fam,8,11443,2,2.0,3,369900,32.32543913309447
Other,1Fam,6,10267,2,1.0,1,130000,12.661926560825947
Sawyer,1Fam,5,8740,2,1.0,2,137000,15.675057208237986
Other,1Fam,5,25095,1,1.0,1,143000,5.698346284120342
Other,1Fam,5,9100,2,1.0,1,79500,8.736263736263735
CollgCr,1Fam,7,8320,3,2.5,2,185900,22.34375
NridgHt,1Fam,10,13478,3,2.5,3,451950,33.532423208191126
Other,1Fam,5,6600,2,1.0,2,138000,20.90909090909091
CollgCr,TwnhsE,6,4435,1,1.0,2,140000,31.567080045095828
CollgCr,1Fam,5,7990,3,1.0,1,110000,13.76720901126408
Other,1Fam,8,11302,3,2.0,3,319000,28.225092903910813
Other,TwnhsE,7,3922,2,1.0,3,194201,49.51580826109128
Other,1Fam,5,12984,3,2.0,2,217500,16.75138632162662
NridgHt,1Fam,8,10927,3,2.5,2,275000,25.167017479637597
Other,1Fam,6,9000,3,1.5,1,141000,15.666666666666666
SawyerW,1Fam,8,10041,3,2.5,2,220000,21.91016830992929
Somerst,TwnhsE,7,3182,2,2.5,2,151000,47.45443117536141
CollgCr,1Fam,7,12803,3,2.0,2,221000,17.261579317347497
NAmes,1Fam,7,13600,3,2.5,2,205000,15.073529411764707
CollgCr,1Fam,5,12464,3,1.0,2,152000,12.195121951219512
Other,1Fam,8,12168,4,2.5,2,359100,29.511834319526628
Sawyer,1Fam,4,7943,3,1.0,1,118500,14.91879642452474
CollgCr,1Fam,9,11050,3,2.5,3,313000,28.32579185520362
NWAmes,1Fam,6,10395,3,2.0,2,148000,14.237614237614238
CollgCr,1Fam,8,11885,3,2.5,2,261500,22.002524190155658
Other,1Fam,5,8402,3,1.0,0,147000,17.495834325160676
Other,TwnhsE,4,1491,1,1.0,0,75500,50.63715627095909
NAmes,1Fam,6,8800,3,1.0,2,137500,15.625
Gilbert,1Fam,6,7861,3,2.5,2,183200,23.304923037781453
NAmes,1Fam,6,7227,2,1.0,2,105500,14.59803514598035
NridgHt,1Fam,9,11694,3,2.0,3,314813,26.92089960663588
Other,1Fam,8,12244,4,2.5,3,305000,24.91016007840575
Edwards,1Fam,3,8248,2,1.0,0,67000,8.123181377303588
NWAmes,1Fam,6,10800,4,2.5,2,240000,22.22222222222222
Sawyer,1Fam,5,7064,3,1.0,2,135000,19.110985277463193
NWAmes,1Fam,6,10400,4,2.0,2,165150,15.879807692307692
NAmes,1Fam,6,10000,3,1.5,2,160000,16.0
NAmes,1Fam,5,12342,3,1.0,1,139900,11.33527791281802
NAmes,1Fam,6,9600,3,1.0,1,153000,15.9375
NAmes,1Fam,5,11606,5,2.0,2,135000,11.63191452696881
NAmes,1Fam,6,9020,3,1.5,2,168500,18.68070953436807
OldTown,1Fam,5,9000,3,1.0,1,124000,13.777777777777779
NridgHt,Twnhs,8,4590,2,2.0,2,209500,45.64270152505446
NAmes,1Fam,5,9250,3,1.0,1,139400,15.07027027027027
Other,2fmCon,6,10896,8,2.0,0,200000,18.355359765051396
Other,1Fam,2,6120,1,1.0,0,60000,9.803921568627452
OldTown,2fmCon,5,6000,3,2.0,1,93000,15.5
Edwards,1Fam,5,8777,2,1.0,0,85000,9.684402415403897
Other,TwnhsE,8,3982,1,2.0,3,264561,66.43922651933701
NridgHt,TwnhsE,8,12677,1,1.5,2,274000,21.613946517314822
Somerst,1Fam,7,7050,3,2.5,2,226000,32.05673758865248
NWAmes,1Fam,5,10793,4,2.5,2,152000,14.083202075419253
Somerst,1Fam,9,9187,2,2.5,3,370878,40.369870469141176
NAmes,1Fam,6,10530,3,1.5,2,143250,13.603988603988604
NAmes,1Fam,5,7200,3,1.0,2,98300,13.652777777777779
Edwards,1Fam,6,10452,3,1.0,2,155000,14.82969766551856
NAmes,1Fam,6,7700,4,1.5,2,155000,20.12987012987013
Other,Twnhs,4,1936,1,1.0,0,84500,43.646694214876035
Somerst,1Fam,7,8125,3,2.5,2,205950,25.34769230769231
Edwards,1Fam,4,9084,4,1.0,1,108000,11.889035667107
CollgCr,1Fam,7,8750,2,2.5,2,191000,21.82857142857143
Other,1Fam,6,10320,3,1.0,1,135000,13.081395348837209
Other,1Fam,8,10437,2,2.5,3,350000,33.5345405767941
NAmes,1Fam,5,10007,3,1.5,1,145500,14.539822124512842
Other,1Fam,7,7200,3,1.5,1,149000,20.694444444444443
Edwards,1Fam,5,9937,3,1.0,2,167000,16.805877025259132
NWAmes,1Fam,7,12384,3,2.5,2,197900,15.980297157622738
Other,1Fam,8,46589,4,2.5,3,402000,8.628646246968168
NAmes,1Fam,6,13560,2,1.0,2,110000,8.112094395280236
Edwards,1Fam,4,10012,3,2.0,2,137500,13.733519776268478
Somerst,1Fam,8,20896,1,1.5,3,423000,20.243108728943337
Gilbert,1Fam,8,11194,3,2.5,2,230500,20.59138824370198
SawyerW,1Fam,6,8125,3,2.0,2,193500,23.815384615384616
Sawyer,1Fam,5,14175,3,1.5,2,168000,11.851851851851851
Other,1Fam,4,11600,2,1.0,1,137500,11.85344827586207
CollgCr,1Fam,6,8633,3,2.5,2,173500,20.097301054094753
Edwards,1Fam,6,6629,3,2.0,1,103600,15.62829989440338
Other,1Fam,6,11250,3,1.5,2,165000,14.666666666666666
Other,1Fam,6,14442,3,2.0,2,257500,17.829940451461017
NAmes,1Fam,6,9200,3,1.0,1,140000,15.217391304347826
OldTown,1Fam,4,9600,4,2.0,3,87000,9.0625
OldTown,1Fam,5,9022,2,1.0,1,109500,12.136998448237641
Other,1Fam,8,11844,3,2.5,3,372500,31.450523471800068
Sawyer,1Fam,5,9945,3,1.0,2,128500,12.921065862242333
SawyerW,TwnhsE,6,8012,2,2.0,1,143000,17.848227658512233
Other,1Fam,6,2887,2,1.0,2,173000,59.923796328368546
CollgCr,1Fam,9,11248,3,2.0,3,285000,25.33783783783784
Other,1Fam,7,16770,4,2.5,2,221000,13.178294573643411
Somerst,1Fam,7,10207,3,3.0,2,227875,22.32536494562555
Somerst,TwnhsE,7,5105,2,2.5,2,148800,29.147894221351617
Other,1Fam,8,8089,2,2.0,2,392000,48.460872790208924
NridgHt,TwnhsE,6,7577,2,2.0,2,194700,25.696185825524616
CollgCr,TwnhsE,6,4426,1,1.0,2,141000,31.857207410754633
Other,1Fam,10,21535,4,3.5,3,755000,35.0592059438124
Other,1Fam,7,26178,4,2.5,2,335000,12.797005118802048
OldTown,1Fam,5,5400,2,1.0,1,108480,20.08888888888889
Other,1Fam,5,6120,3,1.5,2,141500,23.12091503267974
Other,1Fam,6,13811,2,2.0,2,176000,12.74346535370357
Other,1Fam,5,6000,2,1.0,1,89000,14.833333333333334
Edwards,1Fam,5,6420,2,1.0,1,123500,19.23676012461059
Sawyer,1Fam,5,8450,3,1.0,1,138500,16.390532544378697
Somerst,TwnhsE,7,4282,2,2.0,2,196000,45.77300326950024
Other,1Fam,8,14331,3,2.0,3,312500,21.805875375061056
NWAmes,1Fam,7,9600,3,1.5,2,140000,14.583333333333334
Other,1Fam,8,12438,4,2.5,3,361919,29.097845312751247
OldTown,2fmCon,5,7630,4,2.0,2,140000,18.34862385321101
CollgCr,1Fam,7,8400,3,2.0,2,213000,25.357142857142858
Other,2fmCon,4,5600,3,2.0,0,55000,9.821428571428571
Other,1Fam,7,115149,2,2.0,2,302000,2.6226888639936083
NridgHt,TwnhsE,8,6240,2,2.0,2,254000,40.705128205128204
Gilbert,1Fam,7,9018,3,2.5,2,179540,19.9090707473941
Sawyer,1Fam,5,7162,3,1.0,1,109900,15.344875733035465
Other,1Fam,3,4130,2,1.0,0,52000,12.590799031476998
Other,1Fam,4,8712,2,1.0,1,102776,11.797061524334252
Other,TwnhsE,8,4671,2,2.0,2,189000,40.46242774566474
Other,2fmCon,4,9873,3,1.0,2,129000,13.06593740504406
Sawyer,1Fam,6,13517,3,2.5,2,130500,9.654509136642746
NWAmes,1Fam,6,10140,3,2.0,2,165000,16.272189349112427
OldTown,1Fam,7,10800,3,1.5,2,159500,14.768518518518519
NWAmes,1Fam,5,10000,3,1.5,2,157000,15.7
Other,1Fam,7,10542,3,2.5,3,341000,32.34680326313792
CollgCr,1Fam,5,9920,3,1.5,1,128500,12.953629032258064
Other,1Fam,8,6563,2,2.0,2,275000,41.901569404235865
CollgCr,TwnhsE,6,4426,1,1.0,2,143000,32.309082693176684
NAmes,1Fam,4,8120,3,1.0,2,124500,15.332512315270936
Edwards,1Fam,4,8172,4,2.0,1,135000,16.519823788546255
NAmes,1Fam,4,6960,3,1.0,2,120500,17.313218390804597
Other,1Fam,6,21695,3,2.0,2,222000,10.232772528232312
CollgCr,1Fam,7,7314,2,2.0,2,194500,26.592835657642876
NAmes,Duplex,5,11475,4,2.0,3,110000,9.586056644880175
Other,1Fam,4,6240,2,1.0,2,103000,16.506410256410255
Other,TwnhsE,8,5389,2,2.0,2,236500,43.885693078493226
Other,1Fam,7,9590,3,2.0,2,187500,19.551616266944734
CollgCr,1Fam,7,11404,3,2.5,2,222500,19.51069800070151
Sawyer,1Fam,5,10000,3,1.0,1,131400,13.14
Sawyer,1Fam,5,8978,3,1.0,1,108000,12.029405212742258
OldTown,1Fam,7,10800,2,1.5,2,163000,15.092592592592593
NAmes,Duplex,3,8544,2,2.0,2,93500,10.943352059925093
Gilbert,1Fam,8,10463,3,2.5,3,239900,22.928414412692344
Edwards,Duplex,5,10800,3,3.0,0,179000,16.574074074074073
CollgCr,1Fam,7,9313,3,2.5,2,190000,20.401589176420057
OldTown,1Fam,5,9600,2,2.0,2,132000,13.75
Sawyer,1Fam,6,6768,3,1.0,1,142000,20.98108747044917
SawyerW,1Fam,7,8450,3,2.0,2,179000,21.183431952662723
Sawyer,1Fam,5,12886,3,2.0,2,175000,13.580630141238553
Other,TwnhsE,8,5395,2,2.0,2,180000,33.364226135310474
Gilbert,1Fam,7,8795,4,2.5,2,236000,26.833428084138717
OldTown,1Fam,7,11700,4,1.5,4,265979,22.733247863247865
Other,1Fam,7,10593,3,2.0,2,260400,24.582271311243275
Edwards,1Fam,4,8405,4,2.0,1,98000,11.659726353361094
OldTown,1Fam,4,8800,3,1.0,0,96500,10.965909090909092
Gilbert,1Fam,7,7750,3,2.5,2,162000,20.903225806451612
CollgCr,1Fam,6,9236,3,2.0,2,217000,23.49501948895626
NridgHt,1Fam,8,10240,3,2.5,3,275500,26.904296875
NAmes,1Fam,6,7930,3,1.0,2,156000,19.672131147540984
CollgCr,1Fam,8,10769,3,2.5,2,212000,19.68613613148853
Sawyer,1Fam,6,11616,3,2.5,2,158900,13.679407713498623
Other,1Fam,8,12257,4,2.5,3,290000,23.659949416659867
NAmes,1Fam,6,9100,2,1.0,1,127500,14.010989010989011
Other,1Fam,5,6911,2,1.0,2,100000,14.46968600781363
Somerst,1Fam,7,8640,3,2.5,2,215200,24.90740740740741
Other,TwnhsE,8,9549,2,1.5,2,270000,28.275212064090482
Somerst,1Fam,9,14587,2,2.0,2,264132,18.107355864811133
NWAmes,1Fam,7,10421,3,2.5,2,196500,18.856155839170906
Other,1Fam,6,12508,4,2.0,1,160000,12.791813239526704
CollgCr,1Fam,7,9100,3,2.0,2,216837,23.82824175824176
Other,1Fam,8,53504,4,3.5,3,538000,10.055322966507177
Sawyer,1Fam,5,7252,2,1.0,2,134900,18.60176503033646
Edwards,1Fam,4,8877,2,1.0,2,102000,11.490368367691788
Edwards,1Fam,6,7819,3,1.0,2,107000,13.68461440081852
NAmes,1Fam,5,10150,2,1.0,1,114500,11.280788177339902
NridgHt,1Fam,8,14226,3,2.0,3,395000,27.76606213974413
Other,TwnhsE,6,4500,2,2.0,2,162000,36.0
CollgCr,1Fam,7,11210,3,2.0,3,221500,19.75914362176628
Sawyer,1Fam,5,13350,3,1.0,2,142500,10.674157303370787
SawyerW,Duplex,5,8400,4,2.0,2,144000,17.142857142857142
Other,Duplex,6,10530,2,1.0,2,135000,12.820512820512821
Gilbert,1Fam,7,7875,3,2.0,2,176000,22.349206349206348
SawyerW,1Fam,6,7153,3,2.5,2,175900,24.591080665455053
CollgCr,1Fam,7,16285,3,2.0,2,187100,11.489100399140312
Other,1Fam,5,9101,1,1.0,2,165500,18.184814855510382
OldTown,1Fam,6,6300,3,2.0,0,128000,20.317460317460316
NWAmes,1Fam,6,9790,3,2.0,2,161500,16.496424923391217
OldTown,1Fam,5,10800,4,2.0,1,139000,12.87037037037037
OldTown,1Fam,4,6000,2,1.0,1,107900,17.983333333333334
Other,1Fam,6,12205,5,2.5,2,187500,15.362556329373207
Other,TwnhsE,7,3182,2,2.0,2,160200,50.345694531741046
Other,1Fam,6,11333,3,1.0,2,146800,12.953322156534016
Other,1Fam,7,9920,3,2.5,2,269790,27.19657258064516
Somerst,1Fam,8,9158,3,2.0,2,225000,24.568683118584843
Gilbert,1Fam,7,10832,3,2.5,2,194500,17.956056129985228
SawyerW,1Fam,6,8400,3,2.5,2,171000,20.357142857142858
Sawyer,1Fam,6,8197,3,1.5,2,143500,17.506404782237404
NAmes,1Fam,5,7677,2,1.0,1,110000,14.32851374234727
NridgHt,1Fam,9,13518,4,3.5,3,485000,35.87808847462642
Other,1Fam,5,7200,3,1.5,1,175000,24.305555555555557
Other,1Fam,6,12798,4,2.5,2,200000,15.62744178777934
Other,1Fam,4,4800,2,1.0,2,109900,22.895833333333332
CollgCr,1Fam,7,8199,3,2.5,2,189000,23.05159165751921
NridgHt,1Fam,9,13891,4,3.5,3,582933,41.96479735080268
NAmes,1Fam,5,9000,2,1.0,1,118000,13.11111111111111
Somerst,1Fam,7,12274,3,2.0,2,227680,18.54978002281245
NAmes,1Fam,5,9750,3,2.0,1,135500,13.897435897435898
Other,1Fam,5,21384,3,1.5,2,223500,10.451739618406284
NAmes,1Fam,5,13400,3,1.0,2,159950,11.936567164179104
OldTown,1Fam,5,8100,2,2.0,2,106000,13.08641975308642
NWAmes,1Fam,6,10140,3,1.5,2,181000,17.850098619329387
CollgCr,TwnhsE,6,4438,1,1.0,2,144500,32.5597115817936
Other,1Fam,5,8712,2,1.0,2,55993,6.427112029384757
NAmes,1Fam,6,9750,4,1.5,1,157900,16.194871794871794
Edwards,1Fam,5,8248,3,1.5,1,116000,14.064015518913676
CollgCr,1Fam,7,12137,3,2.0,2,224900,18.530114525830108
NAmes,1Fam,5,11425,2,1.0,1,137000,11.99124726477024
Other,1Fam,8,13265,3,2.0,3,271000,20.429702223897475
Other,1Fam,6,8816,3,1.0,2,155000,17.581669691470054
NridgHt,TwnhsE,7,6371,2,2.0,2,224000,35.15931564903469
CollgCr,1Fam,7,7226,3,2.5,2,183000,25.325214503182952
OldTown,2fmCon,4,6000,2,1.0,2,93000,15.5
Gilbert,1Fam,7,12394,3,2.5,2,225000,18.153945457479427
Other,1Fam,6,9900,3,2.0,1,139500,14.090909090909092
Somerst,1Fam,8,11216,3,2.0,2,232600,20.738231098430813
NridgHt,1Fam,10,14803,2,2.0,3,385000,26.008241572654192
Other,1Fam,5,6130,2,1.0,0,109500,17.862969004893966
SawyerW,1Fam,7,8529,3,2.0,2,189000,22.159690467815686
Other,1Fam,5,28698,3,2.5,2,185000,6.446442260784724
Somerst,Twnhs,7,2544,2,2.5,2,147400,57.94025157232704
NAmes,1Fam,6,11900,3,1.5,2,166000,13.949579831932773
Somerst,TwnhsE,7,3180,2,2.5,2,151000,47.484276729559745
CollgCr,1Fam,7,9548,3,2.5,2,237000,24.82195224130708
NAmes,1Fam,6,10004,3,1.5,2,167000,16.69332267093163
NAmes,1Fam,5,7875,3,1.0,2,139950,17.771428571428572
Sawyer,1Fam,4,9600,2,2.0,2,128000,13.333333333333334
OldTown,1Fam,5,8100,2,1.0,2,153500,18.950617283950617
Other,Twnhs,6,1680,2,1.5,1,100000,59.523809523809526
CollgCr,1Fam,5,9525,3,1.5,1,144000,15.118110236220472
Edwards,1Fam,5,11767,3,1.0,1,130500,11.090337384210079
Other,1Fam,6,12155,4,2.0,1,140000,11.517893870835048
OldTown,1Fam,5,10440,3,2.0,2,157500,15.086206896551724
NAmes,1Fam,6,9020,3,1.5,2,174900,19.390243902439025
NAmes,Duplex,5,8000,6,2.0,0,141000,17.625
OldTown,1Fam,5,12665,4,1.5,3,153900,12.151598894591393
Sawyer,1Fam,5,16647,3,2.0,2,171000,10.272121102901425
SawyerW,1Fam,7,9317,3,2.5,2,213000,22.86143608457658
Other,1Fam,6,45600,5,3.0,2,240000,5.2631578947368425
Other,1Fam,6,9600,3,2.5,2,187000,19.479166666666668
CollgCr,TwnhsE,6,4435,1,1.0,2,131500,29.650507328072152
Other,TwnhsE,8,3196,2,2.0,2,215000,67.27158948685857
Other,1Fam,7,7128,4,2.0,1,164000,23.007856341189676
NAmes,1Fam,6,12095,3,1.5,2,158000,13.063249276560562
Sawyer,1Fam,5,17920,3,1.5,2,170000,9.486607142857142
Sawyer,1Fam,5,6897,3,1.5,1,127000,18.41380310279832
CollgCr,1Fam,6,10970,3,1.0,2,147000,13.400182315405651
Gilbert,1Fam,6,8125,3,2.5,2,174000,21.415384615384614
NWAmes,1Fam,7,10400,3,2.0,2,152000,14.615384615384615
NWAmes,1Fam,6,11029,4,2.5,2,250000,22.667512920482366
Other,1Fam,7,7642,3,1.5,1,189950,24.856058623397015
Sawyer,2fmCon,5,11625,3,1.5,2,131500,11.311827956989248
SawyerW,1Fam,6,9672,3,2.0,2,152000,15.715467328370554
NAmes,1Fam,5,7931,3,1.0,1,132500,16.70659437649729
Somerst,1Fam,7,8640,3,2.0,2,250580,29.002314814814813
NAmes,1Fam,5,8750,3,1.0,2,148500,16.97142857142857
Other,1Fam,8,10656,3,2.0,3,248900,23.35773273273273
Sawyer,1Fam,4,6970,3,1.5,2,129000,18.507890961262554
Gilbert,1Fam,5,14762,2,2.0,2,169000,11.448313236688795
SawyerW,1Fam,7,9938,3,2.5,2,236000,23.74723284363051
NAmes,1Fam,5,6600,2,1.0,1,109500,16.59090909090909
CollgCr,1Fam,6,8750,3,2.5,2,200500,22.914285714285715
NAmes,1Fam,5,8892,3,1.0,2,116000,13.045434098065677
NAmes,1Fam,5,12144,3,1.0,1,133000,10.951910408432148
OldTown,1Fam,5,5720,3,1.5,1,66500,11.625874125874127
